"","Gene.name","alpha_pyr","beta_pyr","lambda1_pyr","lambda2_pyr","MCpval_pyr","on_state_freq_pyr","on_state_pyr","total_cells_pyr","CellType_pyr","MEAN_pyr","MODE_pyr","MEDIAN_pyr","VAR_pyr","alpha_fs","beta_fs","lambda1_fs","lambda2_fs","MCpval_fs","on_state_freq_fs","on_state_fs","total_cells_fs","CellType_fs","MEAN_fs","MODE_fs","MEDIAN_fs","VAR_fs","MODE_ratio","alpha_ratio","beta_ratio","MEAN_ratio","direction_alpha","direction_beta"
"2519","Wasl",0.153618148744716,3.40000639233069,2883.81142747749,2.09293520259268,0.939,54.2372881355932,32,59,"Pyramidal",458.621205373527,63.0396054111166,112.782862244248,528733.428667152,0.0157871803926887,8.21239460596813,1010.46727087111,20.5131959071018,0.771,24,6,25,"Fast-spiking",218.597073629991,6.14823116668816,10.0499605241138,165463.625207679,0.097529658166356,0.102768979587978,2.4154056370284,0.476639699753859,"",""
"2520","Wbp2",0.0464801764374423,0.343408914307763,1932.55105835188,0.889986360029081,0.119,52.5423728813559,31,59,"Pyramidal",443.377665297143,21.1767234232479,27.1385178923586,384519.977824429,0.018279804933834,0.087427266476626,1341.69270443383,0.586413715128934,0.995,48,12,25,"Fast-spiking",344.504249249333,39.1072412059524,29.8917286318328,240414.959171349,1.84670878607312,0.393281745787622,0.254586479366327,0.776999556390496,"",""
"2521","Wbp5",0.0825325289722682,0.864272134894971,2386.60510763151,1.14310233140729,0.59,59.3220338983051,35,59,"Pyramidal",440.226012996795,29.6212384905774,6.01308399958795,539358.647464533,0.0260209898159867,0.330085665626323,2386.29427893221,0.966983972932761,0.867,52,13,25,"Fast-spiking",337.145850811719,17.9721904212698,26.4175515331323,468751.147182453,0.606733254147588,0.315281624591075,0.381923299732944,0.765847180444046,"",""
"2522","Wbp7",0.0347125330976959,1.11259491145649,331.041389657069,1.35066249963099,0.052,30.5084745762712,18,59,"Pyramidal",65.8475400778812,4.74078185842464,6.73846011554921,10793.6219057156,0.0522657994598807,0.644297294033463,241.886377363809,0.0317243692248494,0.96,28,7,25,"Fast-spiking",1.68816939778189,0.288442114538092,0.338801581662764,8.95969801796475,0.0608427308304671,1.50567517826436,0.579094230432906,0.0256375469119303,"",""
"2523","Wbscr17",0.0433723177972181,2.53678367371999,176.675022777565,2.4543574503832,0.787,27.1186440677966,16,59,"Pyramidal",31.9908588192966,1.58729036588516,1.87796600611826,9133.26976982329,0.0356193698760904,0.795945056537875,56.7753542004655,1.62305984988731,0.919,24,6,25,"Fast-spiking",17.1541318557742,1.06360496557419,1.6893701702169,1424.65890532346,0.670075865407946,0.821246631149028,0.313761502324195,0.536219798057656,"",""
"2524","Wdfy1",0.171405134168521,11.1858074938509,2159.91651700345,3.82185626617387,0.573,66.1016949152542,39,59,"Pyramidal",176.391985102333,4.72932587042364,2.79694359544466,194551.771166865,0.0189081128456303,0.179863352832437,7819.95909211342,0.569139059521358,1,60,15,25,"Fast-spiking",1210.71391711779,23.5458297910947,4.59050665994115,6613181.99911103,4.9786862728885,0.110312406552772,0.0160796038132528,6.86376944176575,"",""
"2525","Wdfy3",0.0590375454653642,1.41956986330034,3712.92973959445,1.24858969068365,0.758,62.7118644067797,37,59,"Pyramidal",312.981614039951,6.77621855019926,16.2752105473643,609849.229462156,0.0299488305643098,0.568395509913805,2510.44632306798,0.949256268517662,0.998,48,12,25,"Fast-spiking",344.436499030939,19.2438200617989,3.47752796169428,589992.027591541,2.8399054604331,0.507284480210648,0.400399814484896,1.10050074374967,"",""
"2526","Wdr5b",0.0563195398788906,60.952185439401,1322.56325923282,1.53418075520535,0.831,32.2033898305085,19,59,"Pyramidal",7.66161503630679,0.420056894545847,0.750649606531935,494.595326746886,0.333375079870098,1.74262114840997,20.0556777278514,0.508967987278254,0.644,68,17,25,"Fast-spiking",2.56458337679268,0.82488171076659,1.50968219419314,8.15393681489097,1.96373805900371,5.91935020397871,0.0285899699222843,0.334731432555624,"",""
"2527","Wdr12",0.0491264827718157,0.582687679643563,1359.69897037925,0.46557645225698,0.658,37.2881355932203,22,59,"Pyramidal",173.587958212424,3.76946893102802,2.62216746113844,152902.004376073,0.0613310932774277,1.69990090895123,92.7650620158097,1.1269817781372,0.778,24,6,25,"Fast-spiking",15.4439684137569,1.97847666723096,2.96555596069812,858.526555756792,0.524868808692205,1.24843240991423,2.91734486301663,0.0889691230474508,"",""
"2528","Wdr19",0.038219718585363,3.72509139315296,1206.20325075589,0.696587568512,0.908,22.0338983050847,13,59,"Pyramidal",16.800363825415,2.14533687573199,0.959555591138776,1016.62328813031,0.158644462801433,7.92876868048446,94.566111923778,0.0420481675117808,0.133,20,5,25,"Fast-spiking",0.572188365646696,0.188678494408525,0.20398577982713,0.479528055905681,0.0879481896493053,4.15085376536993,2.12847628250362,0.0340580937170604,"",""
"2529","Wdr26",0.0663789670437177,0.827107495121744,2526.29871486655,0.983239670403996,0.782,69.4915254237288,41,59,"Pyramidal",254.640233340546,7.7588491806934,9.98579198835644,292232.210320365,0.0634745992241647,1.28911939039772,460.760590589164,1.44945325089823,0.693,56,14,25,"Fast-spiking",87.9880298138499,4.91603469896759,1.98232636615729,21561.3015852711,0.633603590491271,0.956245661104666,1.55858748469928,0.345538600320783,"",""
"2530","Wdr44",0.0199670918136501,0.539831282927682,6685.87336235551,0.0694475007388215,1,25.4237288135593,15,59,"Pyramidal",63.6007768203771,1.91788060570983,0.727152977152441,19971.66084576,0.0617937288723088,69.9568620161222,843.090196374989,8.04165087626709,0.07,32,8,25,"Fast-spiking",125.722881194786,4.6067272369318,3.8870903156688,84011.0228056575,2.40198854048415,3.09477862119434,129.590233520227,1.97675071720988,"",""
"2531","Wdr47",0.0604113760596596,0.49697717549813,776.489415851371,0.512350907213558,0.192,35.5932203389831,21,59,"Pyramidal",131.915083087264,16.9978182602403,20.0531092352095,44311.3532699127,0.0682672438016441,6.78974130495459,176.687369317827,3.05575559270748,0.397,24,6,25,"Fast-spiking",40.8062352676425,5.21911330930423,7.99192679159055,5663.90669783061,0.307046070819118,1.13003954311894,13.6620787426487,0.30933714562912,"",""
"2532","Wdr48",0.0190227647488538,0.255518154658762,89.3552470592719,0.829415879123788,0.54,28.8135593220339,17,59,"Pyramidal",18.9007158348974,1.16020698659143,1.36887160159371,967.409324810324,0.0187490247734386,0.324789711826746,289.415427705615,0.714457350932942,1,20,5,25,"Fast-spiking",75.4510744623867,20.7184187169574,41.1191969269759,14206.5399357879,17.8575193533579,0.985609874325356,1.27110229118747,3.99196914664351,"",""
"2533","Wdr59",0.0557056254455132,2.00060288170227,17680.7198511917,0.0739577290475898,0.764,32.2033898305085,19,59,"Pyramidal",117.698977442273,-0.0999152788057049,0.649331804817786,79637.2568304134,0.00458199841369723,0.618620685843507,9534.30154787745,1.59657535480383,0.304,20,5,25,"Fast-spiking",2024.64944426507,25.3070278498038,1.98657255650961,17683084.5130527,-253.284864460178,0.0822537827562671,0.309217132246224,17.2019289229431,"Larger in Pyr",""
"2534","Wdr77",0.0108830888183342,9.20910759372055,2618.4310551595,5.6169255591286,0.055,27.1186440677966,16,59,"Pyramidal",421.370476850895,1.29076341223382,1.57863034576538,1517566.45783475,0.0385804385386652,0.408279430704466,979.97448951999,0.851660097209105,0.853,40,10,25,"Fast-spiking",184.597775485872,7.01796885940118,2.91752949268127,102578.393152066,5.43706832164988,3.54498977107222,0.0443343099805741,0.438089011041922,"",""
"2535","Wdr82",0.036250395584699,0.599682751521517,185.971632703869,1.96342912070317,0.454,27.1186440677966,16,59,"Pyramidal",96.3081491498003,11.4583012255118,20.7519503784584,32868.6268836855,0.0656354603492006,0.24463863555319,5287.80735663701,0.0655886404454999,0.865,28,7,25,"Fast-spiking",84.3794816735277,1.05155114330867,0.590609405403296,21825.4637802846,0.091771993301014,1.81061363029387,0.407946760070207,0.876140621727467,"",""
"2536","Wdr89",0.124002069720715,2.74045553591159,155.510280397372,1.4691833300385,0.875,50.8474576271186,30,59,"Pyramidal",20.2049659880367,3.57675027002512,9.23113062242103,1341.23231723116,0.113099771568661,34.6147632647096,771.557581107913,1.72930141596875,0.762,44,11,25,"Fast-spiking",19.7782519489124,2.86613611831529,11.546966996676,1205.54676221787,0.801324079663844,0.912079708212864,12.6310253208306,0.978880734598765,"",""
