"","Gene.name","alpha","beta","lambda1","lambda2","MCpval","on_state_freq","on_state","total_cells","CellType","MEDIAN","MEAN","MODE","VAR","bin_on_freq"
"64","Abcb9",0.061143065,9.191648472,1583.713058,0.530968058,0.674,27.11864407,16,59,"Pyramidal",0.70558518216071,9.01705026296016,0.380244267804293,408.460309806859,3
"65","Abcc5",0.12308608,2.675804528,4832.233401,1.352934677,0.859,59.3220339,35,59,"Pyramidal",31.252657208399,470.352972263549,28.8011205575956,871650.0977477,9
"66","Abhd6",0.040397639,1.285342452,118.1581629,1.005429394,0.837,28.81355932,17,59,"Pyramidal",3.33519380869508,16.2609059360675,1.94073988700675,1026.40949612147,4
"67","Abhd12",0.066380777,1.733668777,258.2104788,1.337968892,0.469,32.20338983,19,59,"Pyramidal",18.8487739971658,54.1887702054603,10.0581589978557,5413.85364024686,5
"68","Abhd15",0.036562721,1.356072231,763.7314106,0.030489315,0.558,25.42372881,15,59,"Pyramidal",0.303877635318443,2.05221354532649,0.252401652419302,29.3912245998703,3
"69","Abi2",0.112347659,1.300477841,2749.617305,1.072718707,0.832,79.66101695,47,59,"Pyramidal",22.2344268821973,303.683227828118,24.8127120517987,347933.832347072,10
"70","Ablim1",0.035290581,0.738517791,3375.323132,1.052223306,0.848,45.76271186,27,59,"Pyramidal",14.1623179328885,400.596113879013,14.13235425576,702464.813307694,7
"71","Abr",0.130007517,2.960642774,378.5113437,1.841910703,0.35,50.84745763,30,59,"Pyramidal",10.8470615595525,53.9987478836295,6.40996948130072,7322.69852027531,8
"72","Acacb",0.150785991,10.31760442,847.4456749,0.294947909,0.522,61.01694915,36,59,"Pyramidal",0.741950580331186,5.5198195608724,0.6016227739339,140.165336815678,9
"73","Acadm",0.011158235,0.307842053,2456.321398,0.778203236,1,25.42372881,15,59,"Pyramidal",1.34205085730104,305.692331564856,7.61606735353934,458820.587893687,3
"74","Acadsb",0.018990093,0.251911992,312.6483156,0.721010527,0.493,23.72881356,14,59,"Pyramidal",1.05208462667764,75.4141502999495,7.41866920585994,11599.1470204515,2
"75","Acap3",0.046124874,4.513958242,405.9927203,2.69647368,0.933,28.81355932,17,59,"Pyramidal",2.19510194835061,39.1460210280564,3.65789864607756,9530.54686636715,4
"76","Acat2",0.055674926,17.39346797,978.7181227,3.529765394,0.28,37.28813559,22,59,"Pyramidal",3.4556066339071,81.8738365545997,4.33154027121378,51751.974910152,6
"77","Acbd5",0.026910685,1.60789307,331.6280275,1.768557023,0.925,25.42372881,15,59,"Pyramidal",2.03414079668702,52.8687139312018,2.45843281025286,13099.2115779856,3
"78","Acin1",0.053182599,0.468530605,109.1353126,3.17873337,0.868,37.28813559,22,59,"Pyramidal",14.0202333367243,96.6089493836297,11.9755347804338,25832.1393856873,6
"79","Acly",0.030907571,0.825193394,2922.223671,1.166336052,0.78,47.45762712,28,59,"Pyramidal",38.1435464765898,298.073504573974,22.2637833532834,433107.39864389,7
"80","Aco1",0.027679486,148.784247,6639.198418,3.062640462,0.093,27.11864407,16,59,"Pyramidal",0.938878936899487,44.2070585098373,0.43959288144851,20961.1255533282,3
"81","Aco2",0.02942036,0.429774657,958.7034126,0.984248022,0.905,50.84745763,30,59,"Pyramidal",13.2072528383028,127.228706580117,6.54798402058488,68351.0781670321,8
"82","Acot7",0.071465396,0.73928709,1082.022296,0.965088903,0.992,44.06779661,26,59,"Pyramidal",31.0207476051848,202.48833782467,26.4038534652919,93096.8567724086,7
"83","Acot8",0.007524628,0.222641592,475.535662,1.000673022,0.999,20.33898305,12,59,"Pyramidal",1.58974591077089,86.6316788474177,1.77466723578688,31551.4582020556,1
"84","Acsl1",0.025905848,1.745206715,15398.87026,0.13803129,0.788,25.42372881,15,59,"Pyramidal",0.649331804817786,160.376869474986,1.15504629806298,103609.727083313,3
"85","Acss2",0.019089138,0.205762015,719.4265908,0.878057718,0.691,28.81355932,17,59,"Pyramidal",1.94799541445336,178.522706377179,11.6526024896392,66399.0481348802,4
"86","Acta1",0.028784679,0.343653401,28.79439996,1.329782124,0.988,28.81355932,17,59,"Pyramidal",2.29633612935342,11.8665974397742,2.3142106637744,285.455107305141,4
"87","Actb",0.205403561,2.4926145,4604.05919,1.512523282,0.9,88.13559322,52,59,"Pyramidal",153.284354304259,605.202666439013,82.2660454356828,1040619.90854389,10
"88","Actg1",0.145772615,1.37943071,185.0590635,1.047708073,0.7,61.01694915,36,59,"Pyramidal",10.4020020671598,32.3997443615317,6.65845609276362,1920.8394248545,9
"89","Actl6b",0.109072876,21.3972719,411.3790986,1.641430406,0.421,37.28813559,22,59,"Pyramidal",1.47174796843667,11.4197890088554,1.18944869891696,485.677559965344,6
"90","Actn1",0.093865414,3.334033554,5783.32218,1.408428234,0.575,64.40677966,38,59,"Pyramidal",51.1594243222595,368.734063527956,38.714650990306,781806.177734841,9
"91","Actn4",0.085511325,1.127893527,483.3983394,0.962451091,0.621,59.3220339,35,59,"Pyramidal",10.6026813111302,57.2913438588111,6.22301189766994,10276.0802895313,9
"92","Actr2",0.059865665,0.754538224,2418.44075,1.006208252,0.8,52.54237288,31,59,"Pyramidal",32.1151958719854,362.397730722346,34.8293859309279,390775.859217745,8
"93","Actr3",0.045804276,0.865652094,2243.543232,1.024661623,0.282,57.62711864,34,59,"Pyramidal",19.3472608630194,245.589565882312,13.898997599408,222717.99509655,9
"94","Adam9",0.019947766,1.130210612,718.2352173,3.228352339,0.481,30.50847458,18,59,"Pyramidal",1.31371203331187,99.9232596255938,1.34171828300484,37127.6482346246,4
"95","Adam11",0.041970997,0.735151369,139.5421316,1.006657264,0.215,45.76271186,27,59,"Pyramidal",2.36147653657262,23.8533066196003,1.90559700563828,1876.51503667553,7
"96","Adam15",0.055538422,0.432664465,648.7041932,0.527426381,0.084,32.20338983,19,59,"Pyramidal",45.453226337245,141.076236560358,25.2194131875372,41631.7910300217,5
"97","Adam23",0.076089815,30.54583864,1871.833725,4.030155106,0.061,59.3220339,35,59,"Pyramidal",2.18260364557059,99.401499278898,2.32355592951303,106379.839013557,9
"98","Adam28",0.089802352,1.150521033,39.14778881,0.032517938,0.778,22.03389831,13,59,"Pyramidal",0.335488049954164,0.412275135533532,0.218840736757784,0.133715328027207,1
"99","Adap1",0.104486915,5.821901365,84.91131903,4.066953569,0.56,23.72881356,14,59,"Pyramidal",9.84310455822062,29.5988172310443,7.43071754398044,2073.31246167977,2
