"","X","Gene.name","alpha","beta","lambda1","lambda2","MCpval","on_state_freq","on_state","total_cells","CellType","MEAN","MODE","MEDIAN"
"87",87,"Actb",0.20540356120012,2.49261449962746,4604.05919016316,1.51252328156078,0.9,88.135593220339,52,59,"Pyramidal",605.202666439013,82.2660454356828,97.1898837131532
"88",88,"Actg1",0.145772614851328,1.37943070978063,185.059063463585,1.04770807256176,0.7,61.0169491525424,36,59,"Pyramidal",32.3997443615317,6.65845609276362,1.10719028422795
"89",89,"Actl6b",0.10907287634588,21.3972718973938,411.379098633467,1.6414304058814,0.421,37.2881355932203,22,59,"Pyramidal",11.4197890088554,1.18944869891696,0
"90",90,"Actn1",0.0938654141458639,3.33403355430058,5783.32217959001,1.40842823387929,0.575,64.4067796610169,38,59,"Pyramidal",368.734063527956,38.714650990306,0.607755270636886
"91",91,"Actn4",0.0855113246760153,1.12789352741745,483.398339398319,0.962451090687901,0.621,59.3220338983051,35,59,"Pyramidal",57.2913438588111,6.22301189766994,0.934190032335905
"92",92,"Actr2",0.059865664754718,0.754538224454328,2418.440750288,1.00620825201271,0.8,52.5423728813559,31,59,"Pyramidal",362.397730722346,34.8293859309279,0.399109445154657
"93",93,"Actr3",0.0458042758372692,0.865652094221351,2243.54323244693,1.02466162261489,0.282,57.6271186440678,34,59,"Pyramidal",245.589565882312,13.898997599408,0.721098361904738
"94",94,"Adam9",0.0199477658409325,1.13021061191177,718.23521729533,3.22835233855314,0.481,30.5084745762712,18,59,"Pyramidal",99.9232596255938,1.34171828300484,0
"95",95,"Adam11",0.0419709972617694,0.735151368775104,139.542131594657,1.00665726437632,0.215,45.7627118644068,27,59,"Pyramidal",23.8533066196003,1.90559700563828,0
"96",96,"Adam15",0.0555384218493247,0.432664464681488,648.704193238793,0.527426380940568,0.084,32.2033898305085,19,59,"Pyramidal",141.076236560358,25.2194131875372,0
"97",97,"Adam23",0.0760898151098711,30.5458386386897,1871.83372485523,4.03015510613943,0.061,59.3220338983051,35,59,"Pyramidal",99.401499278898,2.32355592951303,0.315806932813219
"98",98,"Adam28",0.0898023523353542,1.15052103289574,39.1477888063007,0.0325179384527907,0.778,22.0338983050847,13,59,"Pyramidal",0.412275135533532,0.218840736757784,0
"99",99,"Adap1",0.104486914767505,5.82190136468537,84.9113190275391,4.0669535692007,0.56,23.728813559322,14,59,"Pyramidal",29.5988172310443,7.43071754398044,0
"100",100,"Adar",0.0214352410442998,0.312738971593782,748.75206774117,0.972134470788994,0.727,50.8474576271186,30,59,"Pyramidal",93.3271748542047,4.32633192440755,0.179591941969769
"101",101,"Adat3",0.100775423460043,0.87386021295767,12.4697301855684,0.566205227312538,0.559,40.6779661016949,24,59,"Pyramidal",1.99799427549311,0.592540936006331,0
"102",102,"Adcy1",0.112245250992602,0.837251934888535,3251.69127546288,0.978470414800419,0.883,76.271186440678,45,59,"Pyramidal",518.555906046095,60.4035914670621,18.2398767807281
"103",103,"Adcy6",0.0286602379257003,0.40997963541868,82.3731641477583,0.956037550103044,0.949,30.5084745762712,18,59,"Pyramidal",17.7526824819897,2.1499309842542,0
